job_id,job_title,company,location,posted_date,role_category,salary_usd,description
489,Reporting Analyst,Riverstone Tech,"New York, NY",2025-08-21,Data Analyst,89000,"Riverstone Tech is hiring a Reporting Analyst to help scale our data capabilities. In this role you'll design, build, and maintain solutions using Power BI, R, Python, Excel, SQL, Statistics, and Data warehousing. We're looking for someone with strong problem-solving skills, excellent communication, and a passion for data-driven decision making. Ideal for candidates with 4-6 years of industry experience."
1130,Marketing Data Analyst,Falcon FinTech,"Mumbai, India",2025-08-21,Data Analyst,22000,"Falcon FinTech is hiring a Marketing Data Analyst to help scale our data capabilities. In this role you'll design, build, and maintain solutions using Power BI, SQL, Git, Data warehousing, Tableau, and Statistics. We're looking for someone with strong problem-solving skills, excellent communication, and a passion for data-driven decision making. 3+ years of relevant experience preferred."
570,ETL Developer,Delta Freight Systems,"Denver, CO",2025-08-22,Data Engineer,153500,"Join Delta Freight Systems as a ETL Developer! You'll be responsible for building and maintaining systems that rely on Spark, BigQuery, Snowflake, dbt, Kafka, and ETL. This is a great opportunity for someone who enjoys solving complex problems and working with a talented, supportive team. Entry-level candidates with strong internship experience are encouraged to apply."
708,Software Development Engineer,Redwood Bank,"Toronto, Canada",2025-08-22,Software Engineer,112500,"Join Redwood Bank as a Software Development Engineer! You'll be responsible for building and maintaining systems that rely on PostgreSQL, Java, Linux, and Docker. This is a great opportunity for someone who enjoys solving complex problems and working with a talented, supportive team. 5+ years of professional experience required."
858,ML Ops Engineer,Echo Streaming,"New York, NY",2025-08-22,ML Engineer,129000,"Echo Streaming seeks an experienced ML Ops Engineer to support our expanding analytics function. Day-to-day responsibilities include working with Python, Spark, Machine Learning, Deep Learning, Kubernetes, Scikit-learn, and AWS to build scalable, production-grade systems. We value curiosity, ownership, and clear communication. Minimum of 2 years in a similar role."
1664,Deep Learning Engineer,Lighthouse AI,"Boston, MA",2025-08-22,ML Engineer,191500,"Join Lighthouse AI as a Deep Learning Engineer! You'll be responsible for building and maintaining systems that rely on PyTorch, Docker, AWS, Spark, Kubernetes, TensorFlow, and Deep Learning. This is a great opportunity for someone who enjoys solving complex problems and working with a talented, supportive team. Ideal for candidates with 4-6 years of industry experience."
1993,Backend Engineer,Willow Health Systems,"Toronto, Canada",2025-08-22,Software Engineer,106500,"Join Willow Health Systems as a Backend Engineer! You'll be responsible for building and maintaining systems that rely on Git, Linux, Java, Agile, PostgreSQL, AWS, and REST API. This is a great opportunity for someone who enjoys solving complex problems and working with a talented, supportive team. Entry-level candidates with strong internship experience are encouraged to apply."
1132,Junior Data Analyst,Zenith Aerospace,Remote,2025-08-23,Data Analyst,76000,"We are looking for a Junior Data Analyst to join our growing team at Zenith Aerospace. You will work closely with cross-functional stakeholders to turn data into actionable insight. Key requirements include hands-on experience with Google Cloud Platform, SQL, Python, Data warehousing, and Excel. The ideal candidate is comfortable working in a fast-paced, collaborative environment and has a strong track record of delivering measurable business impact. Entry-level candidates with strong internship experience are encouraged to apply."
1277,Applied ML Engineer,Marlin Shipping,"San Francisco, CA",2025-08-23,ML Engineer,188000,"Marlin Shipping is hiring a Applied ML Engineer to help scale our data capabilities. In this role you'll design, build, and maintain solutions using TensorFlow, Machine Learning, PyTorch, Scikit-learn, Deep Learning, AWS, and Kubernetes. We're looking for someone with strong problem-solving skills, excellent communication, and a passion for data-driven decision making. Minimum of 2 years in a similar role."
1579,Data Analyst,Lumina Commerce,Remote,2025-08-23,Data Analyst,55000,"As a Data Analyst at Lumina Commerce, you will partner with engineering and product teams to deliver high-quality, reliable solutions. Required skills: Power BI, A/B testing, Python, Statistics, Tableau, Git, and SQL. Bonus points if you have experience mentoring junior team members and contributing to a strong engineering culture. 3+ years of relevant experience preferred."
368,ETL Developer,Sable Energy,"Atlanta, GA",2025-08-24,Data Engineer,99500,"Sable Energy is hiring a ETL Developer to help scale our data capabilities. In this role you'll design, build, and maintain solutions using Kafka, Hadoop, ETL, Spark, and Airflow. We're looking for someone with strong problem-solving skills, excellent communication, and a passion for data-driven decision making. 5+ years of professional experience required."
384,Platform Engineer,Riverstone Tech,"Boston, MA",2025-08-24,Software Engineer,123500,"As a Platform Engineer at Riverstone Tech, you will partner with engineering and product teams to deliver high-quality, reliable solutions. Required skills: Kubernetes, REST API, Git, Python, JavaScript, and AWS. Bonus points if you have experience mentoring junior team members and contributing to a strong engineering culture. Ideal for candidates with 4-6 years of industry experience."
453,Machine Learning Engineer,Bluepeak Technologies,"San Francisco, CA",2025-08-24,ML Engineer,166500,"We are looking for a Machine Learning Engineer to join our growing team at Bluepeak Technologies. You will work closely with cross-functional stakeholders to turn data into actionable insight. Key requirements include hands-on experience with TensorFlow, Kubernetes, NLP, Airflow, and Computer Vision. The ideal candidate is comfortable working in a fast-paced, collaborative environment and has a strong track record of delivering measurable business impact. Ideal for candidates with 4-6 years of industry experience."
565,Senior Software Engineer,Granite Data Partners,Remote,2025-08-24,Software Engineer,99000,"Join Granite Data Partners as a Senior Software Engineer! You'll be responsible for building and maintaining systems that rely on Linux, Git, Kubernetes, REST API, Docker, and Agile. This is a great opportunity for someone who enjoys solving complex problems and working with a talented, supportive team. Ideal for candidates with 4-6 years of industry experience."
604,Data Analyst,Juniper Cybersecurity,"Boston, MA",2025-08-24,Data Analyst,83500,"As a Data Analyst at Juniper Cybersecurity, you will partner with engineering and product teams to deliver high-quality, reliable solutions. Required skills: Looker, Power BI, Tableau, Statistics, Data warehousing, and ETL. Bonus points if you have experience mentoring junior team members and contributing to a strong engineering culture. Ideal for candidates with 4-6 years of industry experience."
758,Platform Engineer,Brightline Education,"Pune, India",2025-08-24,Software Engineer,46500,"Join Brightline Education as a Platform Engineer! You'll be responsible for building and maintaining systems that rely on AWS, Docker, Agile, and Java. This is a great opportunity for someone who enjoys solving complex problems and working with a talented, supportive team. 3+ years of relevant experience preferred."
801,Applied ML Engineer,Junction Mobility,"Chicago, IL",2025-08-24,ML Engineer,174500,"Join Junction Mobility as a Applied ML Engineer! You'll be responsible for building and maintaining systems that rely on Docker, Machine Learning, PyTorch, Python, Kubernetes, and Spark. This is a great opportunity for someone who enjoys solving complex problems and working with a talented, supportive team. Entry-level candidates with strong internship experience are encouraged to apply."
1049,Data Engineer,Vertex Insight Labs,"Los Angeles, CA",2025-08-24,Data Engineer,139500,"As a Data Engineer at Vertex Insight Labs, you will partner with engineering and product teams to deliver high-quality, reliable solutions. Required skills: Docker, dbt, Python, BigQuery, Airflow, and ETL. Bonus points if you have experience mentoring junior team members and contributing to a strong engineering culture. Ideal for candidates with 4-6 years of industry experience."
1807,Data Scientist II,Rustic Agritech,"Chicago, IL",2025-08-24,Data Scientist,142500,"Rustic Agritech is hiring a Data Scientist II to help scale our data capabilities. In this role you'll design, build, and maintain solutions using Python, A/B testing, Statistics, TensorFlow, and Deep Learning. We're looking for someone with strong problem-solving skills, excellent communication, and a passion for data-driven decision making. 5+ years of professional experience required."
1566,Marketing Data Analyst,Echo Streaming,Remote,2025-08-25,Data Analyst,58500,"As a Marketing Data Analyst at Echo Streaming, you will partner with engineering and product teams to deliver high-quality, reliable solutions. Required skills: Data warehousing, SQL, Git, and Statistics. Bonus points if you have experience mentoring junior team members and contributing to a strong engineering culture. 3+ years of relevant experience preferred."
1837,Senior Data Analyst,Juniper Cybersecurity,"Chicago, IL",2025-08-25,Data Analyst,83500,"Juniper Cybersecurity seeks an experienced Senior Data Analyst to support our expanding analytics function. Day-to-day responsibilities include working with Statistics, Tableau, A/B testing, and SQL to build scalable, production-grade systems. We value curiosity, ownership, and clear communication. Minimum of 2 years in a similar role."
1900,BI Analyst,Meridian Health Analytics,"Boston, MA",2025-08-25,Data Analyst,89500,"Join Meridian Health Analytics as a BI Analyst! You'll be responsible for building and maintaining systems that rely on Excel, SQL, Data warehousing, Tableau, and Statistics. This is a great opportunity for someone who enjoys solving complex problems and working with a talented, supportive team. Ideal for candidates with 4-6 years of industry experience."
395,Senior Data Analyst,Ivory Real Estate Tech,"Boston, MA",2025-08-26,Data Analyst,105500,"Ivory Real Estate Tech seeks an experienced Senior Data Analyst to support our expanding analytics function. Day-to-day responsibilities include working with A/B testing, Tableau, SQL, Power BI, and MongoDB to build scalable, production-grade systems. We value curiosity, ownership, and clear communication. 3+ years of relevant experience preferred."
643,Big Data Engineer,Brightline Education,"Bengaluru, India",2025-08-26,Data Engineer,48000,"Brightline Education is hiring a Big Data Engineer to help scale our data capabilities. In this role you'll design, build, and maintain solutions using Snowflake, Airflow, Docker, Azure, AWS, and Kafka. We're looking for someone with strong problem-solving skills, excellent communication, and a passion for data-driven decision making. 5+ years of professional experience required."
1002,Applied ML Engineer,Onyx Manufacturing,"Boston, MA",2025-08-26,ML Engineer,196000,"We are looking for a Applied ML Engineer to join our growing team at Onyx Manufacturing. You will work closely with cross-functional stakeholders to turn data into actionable insight. Key requirements include hands-on experience with PyTorch, Python, Deep Learning, Docker, TensorFlow, and Kubernetes. The ideal candidate is comfortable working in a fast-paced, collaborative environment and has a strong track record of delivering measurable business impact. Ideal for candidates with 4-6 years of industry experience."
1503,Data Analyst,Clearwater Consulting,"Bengaluru, India",2025-08-26,Data Analyst,26000,"As a Data Analyst at Clearwater Consulting, you will partner with engineering and product teams to deliver high-quality, reliable solutions. Required skills: Tableau, SQL, A/B testing, Power BI, Statistics, Excel, and Python. Bonus points if you have experience mentoring junior team members and contributing to a strong engineering culture. Entry-level candidates with strong internship experience are encouraged to apply."
673,Applied ML Engineer,Tundra Telecom,"San Francisco, CA",2025-08-27,ML Engineer,188500,"Join Tundra Telecom as a Applied ML Engineer! You'll be responsible for building and maintaining systems that rely on Deep Learning, Airflow, Python, PyTorch, and TensorFlow. This is a great opportunity for someone who enjoys solving complex problems and working with a talented, supportive team. Ideal for candidates with 4-6 years of industry experience."
1395,Cloud Data Engineer,Meridian Health Analytics,"London, UK",2025-08-27,Data Engineer,117000,"Meridian Health Analytics seeks an experienced Cloud Data Engineer to support our expanding analytics function. Day-to-day responsibilities include working with Docker, Airflow, SQL, AWS, NoSQL, and Python to build scalable, production-grade systems. We value curiosity, ownership, and clear communication. Minimum of 2 years in a similar role."
34,Big Data Engineer,Vantage Point Retail,"Chicago, IL",2025-08-28,Data Engineer,129000,"Vantage Point Retail is hiring a Big Data Engineer to help scale our data capabilities. In this role you'll design, build, and maintain solutions using Redshift, Google Cloud Platform, Python, AWS, Data warehousing, Kafka, and BigQuery. We're looking for someone with strong problem-solving skills, excellent communication, and a passion for data-driven decision making. Entry-level candidates with strong internship experience are encouraged to apply."
60,Deep Learning Engineer,Redwood Bank,"Boston, MA",2025-08-28,ML Engineer,194500,"Join Redwood Bank as a Deep Learning Engineer! You'll be responsible for building and maintaining systems that rely on Kubernetes, Azure, PyTorch, TensorFlow, NLP, and Machine Learning. This is a great opportunity for someone who enjoys solving complex problems and working with a talented, supportive team. Entry-level candidates with strong internship experience are encouraged to apply."
86,Software Development Engineer,Ivory Real Estate Tech,"Seattle, WA",2025-08-28,Software Engineer,133500,"Join Ivory Real Estate Tech as a Software Development Engineer! You'll be responsible for building and maintaining systems that rely on Python, JavaScript, Agile, Java, SQL, and REST API. This is a great opportunity for someone who enjoys solving complex problems and working with a talented, supportive team. 3+ years of relevant experience preferred."
151,Data Scientist II,Vantage Point Retail,"Denver, CO",2025-08-28,Data Scientist,101000,"Join Vantage Point Retail as a Data Scientist II! You'll be responsible for building and maintaining systems that rely on PyTorch, Python, SQL, Scikit-learn, NLP, TensorFlow, and Deep Learning. This is a great opportunity for someone who enjoys solving complex problems and working with a talented, supportive team. Entry-level candidates with strong internship experience are encouraged to apply."
533,Cloud Data Engineer,Riverstone Tech,"San Francisco, CA",2025-08-28,Data Engineer,160500,"Riverstone Tech is hiring a Cloud Data Engineer to help scale our data capabilities. In this role you'll design, build, and maintain solutions using Spark, ETL, Redshift, and Hadoop. We're looking for someone with strong problem-solving skills, excellent communication, and a passion for data-driven decision making. 3+ years of relevant experience preferred."
763,Software Engineer,Clearwater Consulting,"London, UK",2025-08-28,Software Engineer,97500,"Clearwater Consulting seeks an experienced Software Engineer to support our expanding analytics function. Day-to-day responsibilities include working with PostgreSQL, Git, C++, REST API, and Agile to build scalable, production-grade systems. We value curiosity, ownership, and clear communication. Minimum of 2 years in a similar role."
978,Platform Engineer,Redwood Bank,"Chicago, IL",2025-08-28,Software Engineer,112500,"Join Redwood Bank as a Platform Engineer! You'll be responsible for building and maintaining systems that rely on Kubernetes, Agile, JavaScript, NoSQL, Java, Git, and AWS. This is a great opportunity for someone who enjoys solving complex problems and working with a talented, supportive team. 3+ years of relevant experience preferred."
1430,ETL Developer,Marlin Shipping,"Berlin, Germany",2025-08-28,Data Engineer,119500,"As a ETL Developer at Marlin Shipping, you will partner with engineering and product teams to deliver high-quality, reliable solutions. Required skills: ETL, Hadoop, dbt, Spark, Airflow, BigQuery, and Snowflake. Bonus points if you have experience mentoring junior team members and contributing to a strong engineering culture. Ideal for candidates with 4-6 years of industry experience."
73,Business Data Analyst,Orbit Financial Services,"Seattle, WA",2025-08-29,Data Analyst,97000,"Orbit Financial Services is hiring a Business Data Analyst to help scale our data capabilities. In this role you'll design, build, and maintain solutions using SQL, Power BI, Python, Tableau, and MongoDB. We're looking for someone with strong problem-solving skills, excellent communication, and a passion for data-driven decision making. 3+ years of relevant experience preferred."
425,Business Data Analyst,Coral Reef Gaming,"Denver, CO",2025-08-29,Data Analyst,84500,"As a Business Data Analyst at Coral Reef Gaming, you will partner with engineering and product teams to deliver high-quality, reliable solutions. Required skills: Statistics, Power BI, Excel, and Looker. Bonus points if you have experience mentoring junior team members and contributing to a strong engineering culture. 3+ years of relevant experience preferred."
734,Backend Engineer,Harbor Robotics,"New York, NY",2025-08-29,Software Engineer,141500,"As a Backend Engineer at Harbor Robotics, you will partner with engineering and product teams to deliver high-quality, reliable solutions. Required skills: MongoDB, Git, Docker, and REST API. Bonus points if you have experience mentoring junior team members and contributing to a strong engineering culture. Minimum of 2 years in a similar role."
1144,Data Analyst,Cortex Systems,"Atlanta, GA",2025-08-29,Data Analyst,61500,"Cortex Systems is hiring a Data Analyst to help scale our data capabilities. In this role you'll design, build, and maintain solutions using Python, Excel, SQL, and Git. We're looking for someone with strong problem-solving skills, excellent communication, and a passion for data-driven decision making. 3+ years of relevant experience preferred."
1385,AI Engineer,Zenith Aerospace,"Los Angeles, CA",2025-08-29,ML Engineer,161000,"Join Zenith Aerospace as a AI Engineer! You'll be responsible for building and maintaining systems that rely on Deep Learning, Python, Machine Learning, PyTorch, Computer Vision, Kubernetes, and TensorFlow. This is a great opportunity for someone who enjoys solving complex problems and working with a talented, supportive team. 5+ years of professional experience required."
95,Data Analyst,Harbor Robotics,"Seattle, WA",2025-08-30,Data Analyst,71500,"As a Data Analyst at Harbor Robotics, you will partner with engineering and product teams to deliver high-quality, reliable solutions. Required skills: ETL, Power BI, Python, SQL, and MongoDB. Bonus points if you have experience mentoring junior team members and contributing to a strong engineering culture. Ideal for candidates with 4-6 years of industry experience."
205,Senior Software Engineer,Orbit Financial Services,"Austin, TX",2025-08-30,Software Engineer,123500,"Orbit Financial Services seeks an experienced Senior Software Engineer to support our expanding analytics function. Day-to-day responsibilities include working with Linux, SQL, Docker, Java, and C++ to build scalable, production-grade systems. We value curiosity, ownership, and clear communication. 3+ years of relevant experience preferred."
334,Software Engineer,Granite Data Partners,"Seattle, WA",2025-08-30,Software Engineer,148500,"As a Software Engineer at Granite Data Partners, you will partner with engineering and product teams to deliver high-quality, reliable solutions. Required skills: Python, Java, C++, AWS, Git, PostgreSQL, and Docker. Bonus points if you have experience mentoring junior team members and contributing to a strong engineering culture. 3+ years of relevant experience preferred."
1158,Senior Data Engineer,Nimbus Analytics,"Pune, India",2025-08-30,Data Engineer,50000,"Nimbus Analytics seeks an experienced Senior Data Engineer to support our expanding analytics function. Day-to-day responsibilities include working with Spark, AWS, Airflow, Snowflake, and SQL to build scalable, production-grade systems. We value curiosity, ownership, and clear communication. Ideal for candidates with 4-6 years of industry experience."
1939,Big Data Engineer,Gridline Utilities,"New York, NY",2025-08-30,Data Engineer,148000,"We are looking for a Big Data Engineer to join our growing team at Gridline Utilities. You will work closely with cross-functional stakeholders to turn data into actionable insight. Key requirements include hands-on experience with Spark, ETL, SQL, Python, Hadoop, Airflow, and Kafka. The ideal candidate is comfortable working in a fast-paced, collaborative environment and has a strong track record of delivering measurable business impact. Minimum of 2 years in a similar role."
23,Senior Software Engineer,Pixel & Co,Remote,2025-08-31,Software Engineer,99500,"As a Senior Software Engineer at Pixel & Co, you will partner with engineering and product teams to deliver high-quality, reliable solutions. Required skills: AWS, JavaScript, Git, MongoDB, and Java. Bonus points if you have experience mentoring junior team members and contributing to a strong engineering culture. Minimum of 2 years in a similar role."
94,Analytics Engineer,Delta Freight Systems,"London, UK",2025-08-31,Data Engineer,130000,"Delta Freight Systems seeks an experienced Analytics Engineer to support our expanding analytics function. Day-to-day responsibilities include working with Hadoop, ETL, Airflow, Spark, Kafka, AWS, and Python to build scalable, production-grade systems. We value curiosity, ownership, and clear communication. Minimum of 2 years in a similar role."
361,Analytics Engineer,Rustic Agritech,"Mumbai, India",2025-08-31,Data Engineer,56500,"As a Analytics Engineer at Rustic Agritech, you will partner with engineering and product teams to deliver high-quality, reliable solutions. Required skills: Snowflake, ETL, AWS, Kafka, and Python. Bonus points if you have experience mentoring junior team members and contributing to a strong engineering culture. 3+ years of relevant experience preferred."
829,Machine Learning Engineer,Fenwick Pharma,"Washington, DC",2025-08-31,ML Engineer,179000,"Fenwick Pharma is hiring a Machine Learning Engineer to help scale our data capabilities. In this role you'll design, build, and maintain solutions using Python, Git, Scikit-learn, and AWS. We're looking for someone with strong problem-solving skills, excellent communication, and a passion for data-driven decision making. Ideal for candidates with 4-6 years of industry experience."
267,Senior Data Analyst,Fenwick Pharma,"Boston, MA",2025-09-01,Data Analyst,93000,"Join Fenwick Pharma as a Senior Data Analyst! You'll be responsible for building and maintaining systems that rely on Python, Tableau, A/B testing, and Data warehousing. This is a great opportunity for someone who enjoys solving complex problems and working with a talented, supportive team. Minimum of 2 years in a similar role."
1094,Cloud Data Engineer,Sable Energy,Remote,2025-09-01,Data Engineer,113000,"Sable Energy seeks an experienced Cloud Data Engineer to support our expanding analytics function. Day-to-day responsibilities include working with Data warehousing, ETL, Snowflake, BigQuery, dbt, Redshift, and Spark to build scalable, production-grade systems. We value curiosity, ownership, and clear communication. Entry-level candidates with strong internship experience are encouraged to apply."
1650,AI Engineer,Bluepeak Technologies,"Seattle, WA",2025-09-01,ML Engineer,159000,"We are looking for a AI Engineer to join our growing team at Bluepeak Technologies. You will work closely with cross-functional stakeholders to turn data into actionable insight. Key requirements include hands-on experience with Machine Learning, PyTorch, TensorFlow, AWS, and Git. The ideal candidate is comfortable working in a fast-paced, collaborative environment and has a strong track record of delivering measurable business impact. 5+ years of professional experience required."
45,Backend Engineer,Nectar Foods,"Boston, MA",2025-09-02,Software Engineer,175000,"Join Nectar Foods as a Backend Engineer! You'll be responsible for building and maintaining systems that rely on Kubernetes, REST API, Java, JavaScript, Docker, and SQL. This is a great opportunity for someone who enjoys solving complex problems and working with a talented, supportive team. Minimum of 2 years in a similar role."
140,Big Data Engineer,Nimbus Analytics,"Bengaluru, India",2025-09-02,Data Engineer,55500,"Join Nimbus Analytics as a Big Data Engineer! You'll be responsible for building and maintaining systems that rely on Python, Hadoop, Spark, and Snowflake. This is a great opportunity for someone who enjoys solving complex problems and working with a talented, supportive team. Minimum of 2 years in a similar role."
517,Platform Engineer,Brightline Education,"Boston, MA",2025-09-02,Software Engineer,156500,"As a Platform Engineer at Brightline Education, you will partner with engineering and product teams to deliver high-quality, reliable solutions. Required skills: Docker, Agile, Java, Kubernetes, and Git. Bonus points if you have experience mentoring junior team members and contributing to a strong engineering culture. Minimum of 2 years in a similar role."
615,Software Development Engineer,Anchor Payments,"Chicago, IL",2025-09-02,Software Engineer,148500,"Anchor Payments seeks an experienced Software Development Engineer to support our expanding analytics function. Day-to-day responsibilities include working with PostgreSQL, Git, Java, JavaScript, Python, and Linux to build scalable, production-grade systems. We value curiosity, ownership, and clear communication. Ideal for candidates with 4-6 years of industry experience."
651,Reporting Analyst,Lumina Commerce,"Atlanta, GA",2025-09-02,Data Analyst,86000,"Lumina Commerce seeks an experienced Reporting Analyst to support our expanding analytics function. Day-to-day responsibilities include working with SQL, Tableau, ETL, Python, and Power BI to build scalable, production-grade systems. We value curiosity, ownership, and clear communication. 3+ years of relevant experience preferred."
752,Backend Engineer,Gridline Utilities,"Seattle, WA",2025-09-02,Software Engineer,129000,"As a Backend Engineer at Gridline Utilities, you will partner with engineering and product teams to deliver high-quality, reliable solutions. Required skills: MongoDB, Linux, REST API, and Kubernetes. Bonus points if you have experience mentoring junior team members and contributing to a strong engineering culture. 3+ years of relevant experience preferred."
1187,AI Engineer,Granite Data Partners,"Los Angeles, CA",2025-09-02,ML Engineer,156500,"Join Granite Data Partners as a AI Engineer! You'll be responsible for building and maintaining systems that rely on Docker, Machine Learning, TensorFlow, Python, AWS, Computer Vision, and Kubernetes. This is a great opportunity for someone who enjoys solving complex problems and working with a talented, supportive team. 5+ years of professional experience required."
250,Deep Learning Engineer,Ironclad Security,"Washington, DC",2025-09-03,ML Engineer,146000,"As a Deep Learning Engineer at Ironclad Security, you will partner with engineering and product teams to deliver high-quality, reliable solutions. Required skills: Computer Vision, TensorFlow, Scikit-learn, Docker, Python, AWS, and Machine Learning. Bonus points if you have experience mentoring junior team members and contributing to a strong engineering culture. Minimum of 2 years in a similar role."
