job_id,skill,category,role_category,location,posted_date
758,Java,Programming Language,Software Engineer,"Pune, India",2025-08-24
758,AWS,Cloud,Software Engineer,"Pune, India",2025-08-24
758,Docker,DevOps,Software Engineer,"Pune, India",2025-08-24
758,Agile,Soft Skills & Methodology,Software Engineer,"Pune, India",2025-08-24
801,Python,Programming Language,ML Engineer,"Chicago, IL",2025-08-24
801,Spark,Big Data,ML Engineer,"Chicago, IL",2025-08-24
801,Docker,DevOps,ML Engineer,"Chicago, IL",2025-08-24
801,Kubernetes,DevOps,ML Engineer,"Chicago, IL",2025-08-24
801,Machine Learning,Machine Learning & AI,ML Engineer,"Chicago, IL",2025-08-24
801,PyTorch,Machine Learning & AI,ML Engineer,"Chicago, IL",2025-08-24
1049,Python,Programming Language,Data Engineer,"Los Angeles, CA",2025-08-24
1049,BigQuery,Cloud & Data Warehousing,Data Engineer,"Los Angeles, CA",2025-08-24
1049,Airflow,Data Engineering,Data Engineer,"Los Angeles, CA",2025-08-24
1049,dbt,Data Engineering,Data Engineer,"Los Angeles, CA",2025-08-24
1049,Docker,DevOps,Data Engineer,"Los Angeles, CA",2025-08-24
1049,ETL,Data Engineering,Data Engineer,"Los Angeles, CA",2025-08-24
1807,Python,Programming Language,Data Scientist,"Chicago, IL",2025-08-24
1807,Deep Learning,Machine Learning & AI,Data Scientist,"Chicago, IL",2025-08-24
1807,TensorFlow,Machine Learning & AI,Data Scientist,"Chicago, IL",2025-08-24
1807,Statistics,Analytics,Data Scientist,"Chicago, IL",2025-08-24
1807,A/B Testing,Analytics,Data Scientist,"Chicago, IL",2025-08-24
1566,SQL,Programming Language,Data Analyst,Remote,2025-08-25
1566,Git,DevOps,Data Analyst,Remote,2025-08-25
1566,Statistics,Analytics,Data Analyst,Remote,2025-08-25
1566,Data Warehousing,Data Engineering,Data Analyst,Remote,2025-08-25
1837,SQL,Programming Language,Data Analyst,"Chicago, IL",2025-08-25
1837,Tableau,BI & Visualization,Data Analyst,"Chicago, IL",2025-08-25
1837,Statistics,Analytics,Data Analyst,"Chicago, IL",2025-08-25
1837,A/B Testing,Analytics,Data Analyst,"Chicago, IL",2025-08-25
1900,SQL,Programming Language,Data Analyst,"Boston, MA",2025-08-25
1900,Excel,BI & Visualization,Data Analyst,"Boston, MA",2025-08-25
1900,Tableau,BI & Visualization,Data Analyst,"Boston, MA",2025-08-25
1900,Statistics,Analytics,Data Analyst,"Boston, MA",2025-08-25
1900,Data Warehousing,Data Engineering,Data Analyst,"Boston, MA",2025-08-25
395,SQL,Programming Language,Data Analyst,"Boston, MA",2025-08-26
395,Power BI,BI & Visualization,Data Analyst,"Boston, MA",2025-08-26
395,Tableau,BI & Visualization,Data Analyst,"Boston, MA",2025-08-26
395,A/B Testing,Analytics,Data Analyst,"Boston, MA",2025-08-26
395,MongoDB,Databases,Data Analyst,"Boston, MA",2025-08-26
643,AWS,Cloud,Data Engineer,"Bengaluru, India",2025-08-26
643,Azure,Cloud,Data Engineer,"Bengaluru, India",2025-08-26
643,Snowflake,Cloud & Data Warehousing,Data Engineer,"Bengaluru, India",2025-08-26
643,Kafka,Big Data,Data Engineer,"Bengaluru, India",2025-08-26
643,Airflow,Data Engineering,Data Engineer,"Bengaluru, India",2025-08-26
643,Docker,DevOps,Data Engineer,"Bengaluru, India",2025-08-26
1002,Python,Programming Language,ML Engineer,"Boston, MA",2025-08-26
1002,Docker,DevOps,ML Engineer,"Boston, MA",2025-08-26
1002,Kubernetes,DevOps,ML Engineer,"Boston, MA",2025-08-26
1002,Deep Learning,Machine Learning & AI,ML Engineer,"Boston, MA",2025-08-26
1002,TensorFlow,Machine Learning & AI,ML Engineer,"Boston, MA",2025-08-26
1002,PyTorch,Machine Learning & AI,ML Engineer,"Boston, MA",2025-08-26
1503,Python,Programming Language,Data Analyst,"Bengaluru, India",2025-08-26
1503,SQL,Programming Language,Data Analyst,"Bengaluru, India",2025-08-26
1503,Excel,BI & Visualization,Data Analyst,"Bengaluru, India",2025-08-26
1503,Power BI,BI & Visualization,Data Analyst,"Bengaluru, India",2025-08-26
1503,Tableau,BI & Visualization,Data Analyst,"Bengaluru, India",2025-08-26
1503,Statistics,Analytics,Data Analyst,"Bengaluru, India",2025-08-26
1503,A/B Testing,Analytics,Data Analyst,"Bengaluru, India",2025-08-26
673,Python,Programming Language,ML Engineer,"San Francisco, CA",2025-08-27
673,Airflow,Data Engineering,ML Engineer,"San Francisco, CA",2025-08-27
673,Deep Learning,Machine Learning & AI,ML Engineer,"San Francisco, CA",2025-08-27
673,TensorFlow,Machine Learning & AI,ML Engineer,"San Francisco, CA",2025-08-27
673,PyTorch,Machine Learning & AI,ML Engineer,"San Francisco, CA",2025-08-27
1395,Python,Programming Language,Data Engineer,"London, UK",2025-08-27
1395,SQL,Programming Language,Data Engineer,"London, UK",2025-08-27
1395,AWS,Cloud,Data Engineer,"London, UK",2025-08-27
1395,Airflow,Data Engineering,Data Engineer,"London, UK",2025-08-27
1395,Docker,DevOps,Data Engineer,"London, UK",2025-08-27
1395,NoSQL,Databases,Data Engineer,"London, UK",2025-08-27
34,Python,Programming Language,Data Engineer,"Chicago, IL",2025-08-28
34,AWS,Cloud,Data Engineer,"Chicago, IL",2025-08-28
34,GCP,Cloud,Data Engineer,"Chicago, IL",2025-08-28
34,Redshift,Cloud & Data Warehousing,Data Engineer,"Chicago, IL",2025-08-28
34,BigQuery,Cloud & Data Warehousing,Data Engineer,"Chicago, IL",2025-08-28
34,Kafka,Big Data,Data Engineer,"Chicago, IL",2025-08-28
34,Data Warehousing,Data Engineering,Data Engineer,"Chicago, IL",2025-08-28
60,Azure,Cloud,ML Engineer,"Boston, MA",2025-08-28
60,Kubernetes,DevOps,ML Engineer,"Boston, MA",2025-08-28
60,Machine Learning,Machine Learning & AI,ML Engineer,"Boston, MA",2025-08-28
60,Deep Learning,Machine Learning & AI,ML Engineer,"Boston, MA",2025-08-28
60,TensorFlow,Machine Learning & AI,ML Engineer,"Boston, MA",2025-08-28
60,PyTorch,Machine Learning & AI,ML Engineer,"Boston, MA",2025-08-28
60,NLP,Machine Learning & AI,ML Engineer,"Boston, MA",2025-08-28
86,Python,Programming Language,Software Engineer,"Seattle, WA",2025-08-28
86,SQL,Programming Language,Software Engineer,"Seattle, WA",2025-08-28
86,Java,Programming Language,Software Engineer,"Seattle, WA",2025-08-28
86,JavaScript,Programming Language,Software Engineer,"Seattle, WA",2025-08-28
86,REST API,Software Engineering,Software Engineer,"Seattle, WA",2025-08-28
86,Agile,Soft Skills & Methodology,Software Engineer,"Seattle, WA",2025-08-28
151,Python,Programming Language,Data Scientist,"Denver, CO",2025-08-28
151,SQL,Programming Language,Data Scientist,"Denver, CO",2025-08-28
151,Deep Learning,Machine Learning & AI,Data Scientist,"Denver, CO",2025-08-28
151,TensorFlow,Machine Learning & AI,Data Scientist,"Denver, CO",2025-08-28
151,PyTorch,Machine Learning & AI,Data Scientist,"Denver, CO",2025-08-28
151,Scikit-learn,Machine Learning & AI,Data Scientist,"Denver, CO",2025-08-28
151,NLP,Machine Learning & AI,Data Scientist,"Denver, CO",2025-08-28
533,Redshift,Cloud & Data Warehousing,Data Engineer,"San Francisco, CA",2025-08-28
533,Spark,Big Data,Data Engineer,"San Francisco, CA",2025-08-28
533,Hadoop,Big Data,Data Engineer,"San Francisco, CA",2025-08-28
533,ETL,Data Engineering,Data Engineer,"San Francisco, CA",2025-08-28
763,C++,Programming Language,Software Engineer,"London, UK",2025-08-28
763,Git,DevOps,Software Engineer,"London, UK",2025-08-28
763,PostgreSQL,Databases,Software Engineer,"London, UK",2025-08-28
763,REST API,Software Engineering,Software Engineer,"London, UK",2025-08-28
763,Agile,Soft Skills & Methodology,Software Engineer,"London, UK",2025-08-28
978,Java,Programming Language,Software Engineer,"Chicago, IL",2025-08-28
978,JavaScript,Programming Language,Software Engineer,"Chicago, IL",2025-08-28
978,AWS,Cloud,Software Engineer,"Chicago, IL",2025-08-28
978,Kubernetes,DevOps,Software Engineer,"Chicago, IL",2025-08-28
978,Git,DevOps,Software Engineer,"Chicago, IL",2025-08-28
978,NoSQL,Databases,Software Engineer,"Chicago, IL",2025-08-28
978,Agile,Soft Skills & Methodology,Software Engineer,"Chicago, IL",2025-08-28
1430,Snowflake,Cloud & Data Warehousing,Data Engineer,"Berlin, Germany",2025-08-28
1430,BigQuery,Cloud & Data Warehousing,Data Engineer,"Berlin, Germany",2025-08-28
1430,Spark,Big Data,Data Engineer,"Berlin, Germany",2025-08-28
1430,Hadoop,Big Data,Data Engineer,"Berlin, Germany",2025-08-28
1430,Airflow,Data Engineering,Data Engineer,"Berlin, Germany",2025-08-28
1430,dbt,Data Engineering,Data Engineer,"Berlin, Germany",2025-08-28
1430,ETL,Data Engineering,Data Engineer,"Berlin, Germany",2025-08-28
73,Python,Programming Language,Data Analyst,"Seattle, WA",2025-08-29
73,SQL,Programming Language,Data Analyst,"Seattle, WA",2025-08-29
73,Power BI,BI & Visualization,Data Analyst,"Seattle, WA",2025-08-29
73,Tableau,BI & Visualization,Data Analyst,"Seattle, WA",2025-08-29
73,MongoDB,Databases,Data Analyst,"Seattle, WA",2025-08-29
425,Excel,BI & Visualization,Data Analyst,"Denver, CO",2025-08-29
425,Power BI,BI & Visualization,Data Analyst,"Denver, CO",2025-08-29
425,Looker,BI & Visualization,Data Analyst,"Denver, CO",2025-08-29
425,Statistics,Analytics,Data Analyst,"Denver, CO",2025-08-29
734,Docker,DevOps,Software Engineer,"New York, NY",2025-08-29
734,Git,DevOps,Software Engineer,"New York, NY",2025-08-29
734,MongoDB,Databases,Software Engineer,"New York, NY",2025-08-29
734,REST API,Software Engineering,Software Engineer,"New York, NY",2025-08-29
1144,Python,Programming Language,Data Analyst,"Atlanta, GA",2025-08-29
1144,SQL,Programming Language,Data Analyst,"Atlanta, GA",2025-08-29
1144,Excel,BI & Visualization,Data Analyst,"Atlanta, GA",2025-08-29
1144,Git,DevOps,Data Analyst,"Atlanta, GA",2025-08-29
1385,Python,Programming Language,ML Engineer,"Los Angeles, CA",2025-08-29
1385,Kubernetes,DevOps,ML Engineer,"Los Angeles, CA",2025-08-29
1385,Machine Learning,Machine Learning & AI,ML Engineer,"Los Angeles, CA",2025-08-29
1385,Deep Learning,Machine Learning & AI,ML Engineer,"Los Angeles, CA",2025-08-29
1385,TensorFlow,Machine Learning & AI,ML Engineer,"Los Angeles, CA",2025-08-29
1385,PyTorch,Machine Learning & AI,ML Engineer,"Los Angeles, CA",2025-08-29
1385,Computer Vision,Machine Learning & AI,ML Engineer,"Los Angeles, CA",2025-08-29
95,Python,Programming Language,Data Analyst,"Seattle, WA",2025-08-30
95,SQL,Programming Language,Data Analyst,"Seattle, WA",2025-08-30
95,Power BI,BI & Visualization,Data Analyst,"Seattle, WA",2025-08-30
95,ETL,Data Engineering,Data Analyst,"Seattle, WA",2025-08-30
95,MongoDB,Databases,Data Analyst,"Seattle, WA",2025-08-30
205,SQL,Programming Language,Software Engineer,"Austin, TX",2025-08-30
205,Java,Programming Language,Software Engineer,"Austin, TX",2025-08-30
205,C++,Programming Language,Software Engineer,"Austin, TX",2025-08-30
205,Docker,DevOps,Software Engineer,"Austin, TX",2025-08-30
205,Linux,DevOps,Software Engineer,"Austin, TX",2025-08-30
334,Python,Programming Language,Software Engineer,"Seattle, WA",2025-08-30
334,Java,Programming Language,Software Engineer,"Seattle, WA",2025-08-30
334,C++,Programming Language,Software Engineer,"Seattle, WA",2025-08-30
334,AWS,Cloud,Software Engineer,"Seattle, WA",2025-08-30
334,Docker,DevOps,Software Engineer,"Seattle, WA",2025-08-30
334,Git,DevOps,Software Engineer,"Seattle, WA",2025-08-30
334,PostgreSQL,Databases,Software Engineer,"Seattle, WA",2025-08-30
1158,SQL,Programming Language,Data Engineer,"Pune, India",2025-08-30
1158,AWS,Cloud,Data Engineer,"Pune, India",2025-08-30
1158,Snowflake,Cloud & Data Warehousing,Data Engineer,"Pune, India",2025-08-30
1158,Spark,Big Data,Data Engineer,"Pune, India",2025-08-30
1158,Airflow,Data Engineering,Data Engineer,"Pune, India",2025-08-30
1939,Python,Programming Language,Data Engineer,"New York, NY",2025-08-30
1939,SQL,Programming Language,Data Engineer,"New York, NY",2025-08-30
1939,Spark,Big Data,Data Engineer,"New York, NY",2025-08-30
1939,Hadoop,Big Data,Data Engineer,"New York, NY",2025-08-30
1939,Kafka,Big Data,Data Engineer,"New York, NY",2025-08-30
1939,Airflow,Data Engineering,Data Engineer,"New York, NY",2025-08-30
1939,ETL,Data Engineering,Data Engineer,"New York, NY",2025-08-30
23,Java,Programming Language,Software Engineer,Remote,2025-08-31
23,JavaScript,Programming Language,Software Engineer,Remote,2025-08-31
23,AWS,Cloud,Software Engineer,Remote,2025-08-31
23,Git,DevOps,Software Engineer,Remote,2025-08-31
23,MongoDB,Databases,Software Engineer,Remote,2025-08-31
94,Python,Programming Language,Data Engineer,"London, UK",2025-08-31
94,AWS,Cloud,Data Engineer,"London, UK",2025-08-31
94,Spark,Big Data,Data Engineer,"London, UK",2025-08-31
94,Hadoop,Big Data,Data Engineer,"London, UK",2025-08-31
94,Kafka,Big Data,Data Engineer,"London, UK",2025-08-31
94,Airflow,Data Engineering,Data Engineer,"London, UK",2025-08-31
94,ETL,Data Engineering,Data Engineer,"London, UK",2025-08-31
361,Python,Programming Language,Data Engineer,"Mumbai, India",2025-08-31
361,AWS,Cloud,Data Engineer,"Mumbai, India",2025-08-31
361,Snowflake,Cloud & Data Warehousing,Data Engineer,"Mumbai, India",2025-08-31
361,Kafka,Big Data,Data Engineer,"Mumbai, India",2025-08-31
361,ETL,Data Engineering,Data Engineer,"Mumbai, India",2025-08-31
829,Python,Programming Language,ML Engineer,"Washington, DC",2025-08-31
829,AWS,Cloud,ML Engineer,"Washington, DC",2025-08-31
829,Git,DevOps,ML Engineer,"Washington, DC",2025-08-31
829,Machine Learning,Machine Learning & AI,ML Engineer,"Washington, DC",2025-08-31
829,Scikit-learn,Machine Learning & AI,ML Engineer,"Washington, DC",2025-08-31
